"","matrix.nrow...cross_validation_times...cross_validation_folds..","mean","std"
"1",0.0143780439969944,0.0145249259401239,0.00441925883260111
"2",0.0146825822388046,NA,NA
"3",0.0119609422372504,NA,NA
"4",0.010449194980696,NA,NA
"5",0.0159179002980835,NA,NA
"6",0.0148998566622118,NA,NA
"7",0.0137083603332917,NA,NA
"8",0.0234949453011156,NA,NA
"9",0.0107336414037252,NA,NA
"10",0.0200667673060002,NA,NA
"11",0.0126819609363162,NA,NA
"12",0.0134793165794949,NA,NA
"13",0.020164800547138,NA,NA
"14",0.0214008185786412,NA,NA
"15",0.0195271089612929,NA,NA
"16",0.0124934480624999,NA,NA
"17",0.0082824500447827,NA,NA
"18",0.007067327530598,NA,NA
"19",0.0110601355723518,NA,NA
"20",0.0140489172311889,NA,NA
