"","bias","mean_bias","std_bias"
"1",0.00207382832425936,0.00780110379160211,0.00538470602090344
"2",0.00207382832425936,NA,NA
"3",0.00919405689414898,NA,NA
"4",0.0117235262392643,NA,NA
"5",0.00389691721028,NA,NA
"6",0.00389691721028,NA,NA
"7",0.019961464816097,NA,NA
"8",0.00486198490319421,NA,NA
"9",0.0114625476652736,NA,NA
"10",0.00378288136338129,NA,NA
"11",0.0108020415676686,NA,NA
"12",0.0122357326661467,NA,NA
"13",0.00643753970211926,NA,NA
"14",0.00643753970211926,NA,NA
"15",0.00568627838092383,NA,NA
"16",9.32320749787857e-05,NA,NA
"17",0.00681939131131168,NA,NA
"18",0.0131228661224903,NA,NA
"19",0.00335703747937016,NA,NA
"20",0.0181024638744755,NA,NA
