"","node","size","n.1","n.0","trt.effect","var","vname","cut","score","score.test","size.test","n11","n12","n21","n22","CATE","bias","N"
"4","1111",94,41,53,0.136217211228716,NA,NA,NA,NA,NA,94,13,33,7,35,0.115942028985507,0.0202751822432088,88
"14","11121",110,50,60,-0.256666666666667,NA,NA,NA,NA,NA,110,18,35,37,21,-0.298308392973325,0.0416417263066581,111
"29","1112211",117,54,63,0.145502645502646,NA,NA,NA,NA,NA,117,23,59,32,55,-0.0873282870759742,0.23283093257862,169
"44","111221211",34,17,17,0.294117647058824,NA,NA,NA,NA,NA,34,2,7,4,6,-0.177777777777778,0.471895424836601,19
"49","11122121211",34,14,20,-0.9,NA,NA,NA,NA,NA,34,7,12,9,4,-0.323886639676113,0.576113360323887,32
"52","11122121212",22,13,9,0.153846153846154,NA,NA,NA,NA,NA,22,5,4,5,3,-0.0694444444444444,0.223290598290598,17
"53","1112212122",52,24,28,-0.0297619047619048,NA,NA,NA,NA,NA,52,4,14,11,16,-0.185185185185185,0.15542328042328,45
"58","11122122",133,59,74,0.0249656436097114,NA,NA,NA,NA,NA,133,22,39,25,40,-0.0239596469104666,0.048925290520178,126
"73","111222",1164,584,580,-0.112328767123288,NA,NA,NA,NA,NA,1164,211,375,202,352,-0.00455267924249331,0.107776087880794,1140
"226","112",824,437,387,0.0211389613230921,NA,NA,NA,NA,NA,824,156,272,127,302,0.0684486852711151,0.0473097239480231,857
"335","1211",852,413,439,0.143816841048608,NA,NA,NA,NA,NA,852,155,246,121,295,0.0956682812200269,0.0481485598285813,817
"430","1212",865,419,446,0.00612712308828411,NA,NA,NA,NA,NA,865,142,290,159,311,-0.0095941686367218,0.0157212917250059,902
"540","122111",90,50,40,0.17,NA,NA,NA,NA,NA,90,10,38,6,31,0.0461711711711712,0.123828828828829,85
"550","1221121",471,245,226,-0.0796821383420625,NA,NA,NA,NA,NA,471,21,190,28,193,-0.0271707662284746,0.0525113721135879,432
"604","12211221",121,73,48,0.115011415525114,NA,NA,NA,NA,NA,121,14,49,9,62,0.0954616588419405,0.0195497566831736,134
"616","122112221",355,188,167,-0.0565995668237992,NA,NA,NA,NA,NA,355,19,162,13,155,0.0275914233096553,0.0841909901334545,349
"647","12211222211",26,10,16,0.4,NA,NA,NA,NA,NA,26,3,12,4,14,-0.0222222222222222,0.422222222222222,33
"650","12211222212",27,18,9,-0.166666666666667,NA,NA,NA,NA,NA,27,1,7,1,12,0.0480769230769231,0.21474358974359,21
"652","12211222221",2146,1078,1068,-0.00762092375254494,NA,NA,NA,NA,NA,2146,19,1055,18,980,-0.000345196911513905,0.00727572684103104,2072
"697","12211222222",21,10,11,0.3,NA,NA,NA,NA,NA,21,1,10,3,23,-0.0244755244755245,0.324475524475524,37
"700","1221211",76,47,29,0.497432134996332,NA,NA,NA,NA,NA,76,20,20,14,21,0.1,0.397432134996332,75
"705","1221212",250,121,129,0.105836376449484,NA,NA,NA,NA,NA,250,40,102,21,101,0.109558993304087,0.00372261685460255,264
"732","122122",337,179,158,-0.00848596280319638,NA,NA,NA,NA,NA,337,34,136,37,121,-0.0341772151898734,0.025691252386677,328
"779","1222",1779,888,891,-0.0265492765492765,NA,NA,NA,NA,NA,1779,119,774,126,828,0.00118320691330898,0.0277324834625855,1847
